outer_fold,repeat,split,algorithm,roc_auc,pr_auc,macro_f1,balanced_accuracy,mcc,train_time_sec,latency_ms_sample,best_params
12,3,2,Decision_Tree,0.7528846341199873,0.3897122899580997,0.601296047892292,0.5745751430803322,0.30114410956967674,7.888962984085083,0.002534214337087792,"{'model__max_depth': 4, 'model__min_samples_split': 2}"
12,3,2,Random_Forest,0.7897911083241961,0.4611943611719138,0.6259123806590698,0.5926242553711586,0.33299088250567094,106.56885528564453,0.008868910575825008,"{'model__max_depth': 8, 'model__min_samples_split': 15, 'model__n_estimators': 200}"
12,3,2,Neural_Network_MLP,0.7861800754474564,0.44389464664997597,0.6323391931953467,0.5978731912360972,0.3390492862070727,64.10572338104248,0.003535572369314355,"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (32, 16)}"
13,3,3,Logistic_Regression,0.7864482068446412,0.4533440314122526,0.5926608695837174,0.568315160710325,0.30126326831630945,11.652270317077637,0.00669065937535576,"{'model__C': 0.001, 'model__class_weight': None}"
13,3,3,Decision_Tree,0.7594496361542783,0.40173128725645035,0.6348450220562756,0.5995818251747261,0.3451306843732416,6.708669662475586,0.0021681470008206205,"{'model__max_depth': 4, 'model__min_samples_split': 2}"
13,3,3,Random_Forest,0.8001794305649282,0.4704028566363268,0.6389205004143779,0.6022159903352006,0.3560790518765449,101.0388708114624,0.006448824476602226,"{'model__max_depth': 8, 'model__min_samples_split': 15, 'model__n_estimators': 100}"
13,3,3,Neural_Network_MLP,0.7922906500851806,0.45910499422939827,0.6661190083949058,0.6290780009013558,0.3744471202717484,86.43215847015381,0.0033778426280945233,"{'model__alpha': 0.1, 'model__hidden_layer_sizes': (64,)}"
14,3,4,Logistic_Regression,0.8029870241336838,0.44510363770422295,0.5915214299395921,0.5677677404284035,0.2923152295825599,12.584780931472778,0.006741672555243673,"{'model__C': 0.001, 'model__class_weight': None}"
14,3,4,Decision_Tree,0.7781175231119899,0.40512540893394633,0.6209624627807304,0.5898064945989439,0.3155712928263355,7.054619312286377,0.0022191601807085327,"{'model__max_depth': 4, 'model__min_samples_split': 2}"
14,3,4,Random_Forest,0.8201554779781315,0.4764817930641977,0.6200909610042673,0.5883442247160258,0.32376923490083903,101.85817122459412,0.008298703664421817,"{'model__max_depth': 8, 'model__min_samples_split': 15, 'model__n_estimators': 100}"
14,3,4,Neural_Network_MLP,0.8110722388309745,0.46737504640327554,0.6306537478271151,0.5964174940892767,0.3382108418188158,65.78312230110168,0.00341131097993926,"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (32, 16)}"
15,3,5,Logistic_Regression,0.7738520838544051,0.42734206556798326,0.5978480270868602,0.5718130022935022,0.3072860156654799,11.211180448532104,0.0068392113764936015,"{'model__C': 0.001, 'model__class_weight': None}"
15,3,5,Decision_Tree,0.7586226068059442,0.3939351456273895,0.6276428608652735,0.593997238712996,0.33502238629310277,7.731872081756592,0.0020851709658837566,"{'model__max_depth': 4, 'model__min_samples_split': 2}"
15,3,5,Random_Forest,0.7917419762816006,0.45959434447468006,0.6330103891327549,0.5988291222870842,0.3363080141659518,96.51091051101685,0.006443642093401355,"{'model__max_depth': 8, 'model__min_samples_split': 5, 'model__n_estimators': 100}"
15,3,5,Neural_Network_MLP,0.7877474451753869,0.44431419289578555,0.631841719011463,0.5976233081881804,0.33720017630021876,66.1713056564331,0.0033957638303366445,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16)}"
